feature,importance
Votes,0.4224187148205573
Minimum_Order,0.16011146211217514
"Cuisines_Cafe, Continental, Italian",0.07548642374098644
"Cuisines_Fast Food, Chinese",0.0479776103737859
"Cuisines_Beverages, Juices, Fast Food",0.02903457558657618
Rating,0.02791316104045208
"Cuisines_Chinese, North Indian, Fast Food",0.02233437439431276
"Cuisines_Mithai, Street Food, Chinese",0.022295662967583882
Average_Cost,0.02164636774497054
"Cuisines_Ice Cream, Cafe, Pizza, Burger, Beverages",0.01855079336979375
"Cuisines_North Indian, South Indian, Fast Food",0.011478115053430318
Reviews,0.011469905852284286
"Cuisines_Chinese, North Indian, Fast Food, Momos, Beverages",0.010403966699130905
"Cuisines_Chinese, Mughlai, North Indian, Seafood, Biryani",0.010349742394103367
"Location_Jaya Nagar, Saidabad, Hyderabad",0.01026380676852417
"Cuisines_Continental, Burger, Wraps, Beverages",0.007986605733385518
"Cuisines_Healthy Food, Fast Food",0.007791187884375788
"Cuisines_Chinese, Fast Food, Momos",0.0077079072894621955
"Cuisines_Street Food, Fast Food, Beverages",0.0067291479701949136
"Cuisines_North Indian, Italian, Continental, Finger Food",0.0063784733637465806
"Cuisines_North Indian, Chinese, Mughlai, Biryani",0.005451119349485182
"Cuisines_Mediterranean, Pizza, Italian, Beverages",0.0035130184945715783
Location_Pune University,0.003351959035044226
"Location_Moulali, Kolkata",0.003192346480429911
"Cuisines_Chinese, Continental, Mughlai, Fast Food",0.003015124462945237
"Cuisines_Biryani, Rolls",0.002913782737969161
"Cuisines_Cafe, North Indian, South Indian, Chinese",0.00270816184067864
"Location_Panjetan Colony, Malakpet, Hyderabad",0.0020140199386046035
"Cuisines_Wraps, Rolls",0.002012614497692811
"Cuisines_Street Food, Fast Food, Chinese, South Indian, North Indian, Momos",0.0018726958740179216
"Cuisines_North Indian, Chinese, Italian, American, Arabian, Continental, Mithai, Beverages",0.0018509785477158454
"Location_Noorkhan Bazaar, Malakpet, Hyderabad",0.0018280157429271225
"Cuisines_Kerala, Seafood, North Indian",0.0017569782893441064
"Cuisines_Rajasthani, North Indian, Chinese",0.001721749116501521
"Cuisines_North Indian, Chinese, Biryani, Continental",0.0014586076547607695
"Cuisines_American, Italian, Continental, Burger, Sandwich",0.0013180615933961021
"Cuisines_North Indian, Chinese, South Indian, Mithai",0.0012809880919318105
"Location_Delhi Administration Flats, Timarpur",0.001263680678135425
"Cuisines_North Indian, Italian, Finger Food",0.0012216190444483879
Cuisines_Assamese,0.0011457651026399941
"Cuisines_Seafood, North Indian, Mangalorean",0.0010592751756994926
"Cuisines_North Indian, Chinese, South Indian, Kerala",0.0010304143577991689
"Location_Rmz Centennial, I Gate, Whitefield",0.0008482662697380184
"Cuisines_Biryani, Rolls, Chinese, North Indian",0.0008344283102131381
"Cuisines_Cafe, Fast Food, Italian",0.0007915241015541181
"Cuisines_Fast Food, Tea, Coffee",0.0007910960192926443
"Cuisines_Ice Cream, Beverages",0.0007655820299884542
"Cuisines_Biryani, South Indian, Chinese",0.0007564587300480948
"Cuisines_Fast Food, Mexican, Street Food, Beverages",0.0007421865147807586
"Cuisines_Mithai, North Indian",0.0007263835581904864
"Cuisines_Bakery, Desserts, Salad, Pizza, Beverages, Cafe, Fast Food, Continental",0.0007140702836060561
"Cuisines_Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",0.0007055228405953768
"Cuisines_Desserts, Ice Cream, Bakery",0.0007045307444213363
"Cuisines_Italian, Continental, Salad",0.0007029794057831489
"Cuisines_Cafe, American, Fast Food, Beverages, Italian, Mexican, Pizza",0.0006744539922117539
"Cuisines_Street Food, Chinese",0.0004518836070582785
"Location_Yerawada, Pune, Maharashtra",0.0004405298147416876
"Location_Sector 3, Marathalli",0.00039777860675309384
"Cuisines_North Indian, Chinese, South Indian, Andhra",0.00037652591487692005
"Cuisines_Cafe, North Indian, Chinese, Healthy Food",0.0003581647010828299
"Cuisines_North Indian, South Indian, Continental, Fast Food, Chinese",0.00034767296562103147
"Cuisines_North Indian, Fast Food, South Indian, Street Food",0.0003359610542224065
"Cuisines_Salad, Burger, Juices",0.0003084880112925857
"Cuisines_Bengali, North Indian, Rolls, Fast Food, Seafood",0.0003082910855710279
"Cuisines_Fast Food, Burger, Beverages, Pizza",0.0003066607030691818
