Location,Cuisines,Average_Cost_for_Two,Rating,Votes,Reviews,Delivery_Time
"Rmz Centennial, I Gate, Whitefield","North Indian, Andhra, BBQ, Seafood, Chinese",350.0,3.0,160.0,73.0,45.0
"FTI College, Law College Road, Pune","European, Italian, Continental, Salad, Beverages",600.0,4.0,646.0,370.0,45.0
"Sector 63A,Gurgaon","Chinese, Continental, Italian, Healthy Food, Asian, North Indian, Pizza, Desserts",200.0,3.0,41.0,25.0,45.0
"FTI College, Law College Road, Pune","Bakery, Cafe, Desserts",100.0,4.0,231.0,123.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, North Indian",150.0,3.0,63.0,26.0,30.0
Mumbai Central,"Beverages, Fast Food",200.0,3.0,33.0,13.0,45.0
"Yerawada, Pune, Maharashtra",Fast Food,200.0,3.0,10.0,8.0,30.0
Delhi University-GTB Nagar,North Indian,250.0,3.0,488.0,169.0,45.0
"FTI College, Law College Road, Pune","North Indian, Chinese, Fast Food, Mughlai",300.0,3.0,8.0,4.0,45.0
"Rmz Centennial, I Gate, Whitefield",Chinese,200.0,3.0,13.0,4.0,30.0
Delhi University-GTB Nagar,Chinese,200.0,4.0,58.0,45.0,30.0
"Sector 14, Noida",North Indian,200.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Tea, Street Food, Maharashtrian",100.0,3.0,23.0,9.0,30.0
"Noorkhan Bazaar, Malakpet, Hyderabad",South Indian,150.0,4.0,1008.0,245.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Juices, Healthy Food",150.0,4.0,432.0,79.0,45.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese",200.0,3.0,4.0,26.0,45.0
"Tejas Nagar Colony, Wadala West, Mumbai",Chinese,150.0,3.0,63.0,26.0,30.0
"Delhi High Court, India Gate","Mexican, Italian, Chinese",600.0,3.0,40.0,20.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Mithai, Street Food",100.0,3.0,63.0,26.0,45.0
"Babarpur, New Delhi, Delhi","North Indian, Chinese, Beverages",100.0,3.0,63.0,26.0,30.0
Mumbai Central,Street Food,50.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Asian, North Indian, European, Continental, Finger Food",800.0,4.0,170.0,111.0,30.0
"FTI College, Law College Road, Pune","North Indian, Chinese, South Indian, Fast Food",200.0,3.0,22.0,10.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese, Seafood",200.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","Italian, Beverages",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Chinese, North Indian, Rolls",200.0,3.0,101.0,26.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,200.0,3.0,8.0,3.0,30.0
Pune University,"Fast Food, Burger, Beverages",100.0,3.0,63.0,26.0,30.0
"Sector 1, Noida",South Indian,100.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","Salad, Healthy Food",150.0,3.0,163.0,59.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Rolls",150.0,3.0,33.0,18.0,65.0
"Rmz Centennial, I Gate, Whitefield","Bakery, Desserts",200.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Chinese, Fast Food",200.0,2.0,267.0,46.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Seafood, Biryani",250.0,3.0,893.0,196.0,30.0
"Delhi High Court, India Gate","Pizza, Fast Food",100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Cafe, North Indian, South Indian, Chinese",200.0,3.0,124.0,72.0,30.0
"Yerawada, Pune, Maharashtra","Biryani, Chinese, North Indian",200.0,2.0,61.0,32.0,65.0
"Nathan Road, Mangaldas Road, Pune",Fast Food,150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Rolls, Fast Food",200.0,3.0,62.0,38.0,30.0
Majestic,"South Indian, North Indian, Chinese",100.0,4.0,1265.0,547.0,45.0
Delhi University-GTB Nagar,North Indian,150.0,3.0,43.0,11.0,30.0
Majestic,"Sandwich, Street Food, Beverages",100.0,3.0,20.0,7.0,30.0
"MG Road, Pune",Parsi,200.0,2.0,9.0,7.0,30.0
"Yerawada, Pune, Maharashtra","Bakery, Fast Food",200.0,3.0,30.0,14.0,120.0
"Sector 1, Noida","Pizza, Fast Food",200.0,3.0,88.0,32.0,30.0
"Yerawada, Pune, Maharashtra",North Indian,200.0,3.0,35.0,8.0,45.0
"D-Block, Sector 63, Noida","North Indian, Bihari",200.0,3.0,51.0,24.0,30.0
Delhi Cantt.,Fast Food,150.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur",North Indian,100.0,3.0,6.0,1.0,30.0
"Jaya Nagar, Saidabad, Hyderabad","North Indian, Chinese",200.0,3.0,32.0,5.0,30.0
"Moulali, Kolkata","Mishti, Fast Food",100.0,3.0,119.0,38.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Mughlai, Biryani",250.0,3.0,935.0,499.0,45.0
"Delhi Administration Flats, Timarpur","Mithai, Street Food, North Indian, South Indian, Bakery, Chinese, Fast Food",250.0,4.0,391.0,83.0,30.0
"MG Road, Pune","Biryani, North Indian, Chinese",350.0,3.0,19.0,7.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, Rolls",150.0,3.0,63.0,26.0,30.0
Delhi Cantt.,Bakery,100.0,2.0,9.0,3.0,30.0
"Chandni Chowk, Kolkata","Biryani, North Indian",100.0,3.0,7.0,2.0,30.0
Mumbai Central,Rolls,100.0,3.0,171.0,56.0,30.0
"Chandni Chowk, Kolkata",North Indian,200.0,3.0,624.0,320.0,30.0
"D-Block, Sector 63, Noida",North Indian,200.0,3.0,24.0,22.0,45.0
"Yerawada, Pune, Maharashtra","Italian, North Indian, Continental",250.0,3.0,120.0,89.0,45.0
"Sector 14, Noida","Burger, American, Fast Food",400.0,3.0,122.0,85.0,30.0
Pune University,North Indian,750.0,4.0,1435.0,991.0,45.0
